key,val
"AFGHANISTAN",4
"AF",4
"AFG",4
"�LAND ISLANDS",248
"ALAND ISLANDS",248
"AX",248
"ALA",248
"ALBANIA",8
"AL",8
"ALB",8
"ALGERIA",12
"DZ",12
"DZA",12
"AMERICAN SAMOA",16
"AS",16
"ASM",16
"ANDORRA",20
"AD",20
"AND",20
"ANGOLA",24
"AO",24
"AGO",24
"ANGUILLA",660
"AI",660
"AIA",660
"ANTARCTICA",10
"AQ",10
"ATA",10
"ANTIGUA AND BARBUDA",28
"AG",28
"ATG",28
"ARGENTINA",32
"AR",32
"ARG",32
"ARMENIA",51
"AM",51
"ARM",51
"ARUBA",533
"AW",533
"ABW",533
"AUSTRALIA",36
"AU",36
"AUS",36
"AUSTRIA",40
"AT",40
"AUT",40
"AZERBAIJAN",31
"AZ",31
"AZE",31
"BAHAMAS",44
"BAHAMAS, THE",44
"THE BAHAMAS",44
"BS",44
"BHS",44
"BAHRAIN",48
"BH",48
"BHR",48
"BANGLADESH",50
"BD",50
"BGD",50
"BARBADOS",52
"BB",52
"BRB",52
"BELARUS",112
"BY",112
"BLR",112
"BELGIUM",56
"BE",56
"BEL",56
"BELIZE",84
"BZ",84
"BLZ",84
"BENIN",204
"BJ",204
"BEN",204
"BERMUDA",60
"BM",60
"BMU",60
"BHUTAN",64
"BT",64
"BTN",64
"BOLIVIA (PLURINATIONAL STATE OF)",68
"BOLIVIA, PLURINATIONAL STATE OF",68
"BOLIVIA",68
"PLURINATIONAL STATE OF BOLIVIA",68
"BO",68
"BOL",68
"BONAIRE, SINT EUSTATIUS AND SABA",535
"BONAIRE",535
"SINT EUSTATIUS AND SABA BONAIRE",535
"CARRIBEAN NETHERLANDS",535
"BQ",535
"BES",535
"BOSNIA AND HERZEGOVINA",70
"BA",70
"BIH",70
"BOTSWANA",72
"BW",72
"BWA",72
"BOUVET ISLAND",74
"BV",74
"BVT",74
"BRAZIL",76
"BR",76
"BRA",76
"BRITISH INDIAN OCEAN TERRITORY",86
"IO",86
"IOT",86
"BRUNEI DARUSSALAM",96
"BRUNEI",96
"BN",96
"BRN",96
"BULGARIA",100
"BG",100
"BGR",100
"BURKINA FASO",854
"BF",854
"BFA",854
"BURUNDI",108
"BI",108
"BDI",108
"CABO VERDE",132
"CV",132
"CPV",132
"CAMBODIA",116
"KH",116
"KHM",116
"CAMEROON",120
"CM",120
"CMR",120
"CANADA",124
"CA",124
"CAN",124
"CAYMAN ISLANDS",136
"KY",136
"CYM",136
"CENTRAL AFRICAN REPUBLIC",140
"CF",140
"CAF",140
"CHAD",148
"TD",148
"TCD",148
"CHILE",152
"CL",152
"CHL",152
"CHINA",156
"CN",156
"CHN",156
"CHRISTMAS ISLAND",162
"CX",162
"CXR",162
"COCOS (KEELING) ISLANDS",166
"COCOS ISLANDS",166
"KEELING ISLANDS",166
"COCOS KEELING ISLANDS",166
"CC",166
"CCK",166
"COLOMBIA",170
"CO",170
"COL",170
"COMOROS",174
"KM",174
"COM",174
"CONGO",180
"CONGO (REPUBLIC OF THE)",178
"CONGO, REPUBLIC OF THE",178
"REPUBLIC OF THE CONGO",178
"CG",178
"COG",178
"CONGO (DEMOCRATIC REPUBLIC OF THE)",180
"CONGO, DEMOCRATIC REPUBLIC OF THE",180
"DEMOCRATIC REPUBLIC OF THE CONGO",180
"CD",180
"COD",180
"COOK ISLANDS",184
"CK",184
"COK",184
"COSTA RICA",188
"CR",188
"CRI",188
"C�TE D'IVOIRE",384
"COTE D'IVOIRE",384
"CI",384
"CIV",384
"CROATIA",191
"HR",191
"HRV",191
"CUBA",192
"CU",192
"CUB",192
"CURA�AO",531
"CURACAO",531
"CW",531
"CUW",531
"CYPRUS",196
"CY",196
"CYP",196
"CZECHIA",203
"CZECH REPUBLIC",203
"CZ",203
"CZE",203
"DENMARK",208
"DK",208
"DNK",208
"DJIBOUTI",262
"DJ",262
"DJI",262
"DOMINICA",212
"DM",212
"DMA",212
"DOMINICAN REPUBLIC",214
"DO",214
"DOM",214
"ECUADOR",218
"EC",218
"ECU",218
"EGYPT",818
"EG",818
"EGY",818
"EL SALVADOR",222
"SV",222
"SLV",222
"EQUATORIAL GUINEA",226
"GQ",226
"GNQ",226
"ERITREA",232
"ER",232
"ERI",232
"ESTONIA",233
"EE",233
"EST",233
"ETHIOPIA",231
"ET",231
"ETH",231
"FALKLAND ISLANDS (MALVINAS)",238
"FALKLAND ISLANDS (ISLAS MALVINAS)",238
"FALKLAND ISLANDS",238
"ISLAS MALVINAS",238
"MALVINAS",238
"FK",238
"FLK",238
"FAROE ISLANDS",234
"FO",234
"FRO",234
"FIJI",242
"FJ",242
"FJI",242
"FINLAND",246
"FI",246
"FIN",246
"FRANCE",250
"FR",250
"FRA",250
"FRENCH GUIANA",254
"GF",254
"GUF",254
"FRENCH POLYNESIA",258
"PF",258
"PYF",258
"FRENCH SOUTHERN TERRITORIES",260
"TF",260
"ATF",260
"GABON",266
"GA",266
"GAB",266
"GAMBIA",270
"GM",270
"GMB",270
"GEORGIA",268
"GE",268
"GEO",268
"GERMANY",276
"DE",276
"DEU",276
"GHANA",288
"GH",288
"GHA",288
"GIBRALTAR",292
"GI",292
"GIB",292
"GREECE",300
"GR",300
"GRC",300
"GREENLAND",304
"GL",304
"GRL",304
"GRENADA",308
"GD",308
"GRD",308
"GUADELOUPE",312
"GP",312
"GLP",312
"GUAM",316
"GU",316
"GUM",316
"GUATEMALA",320
"GT",320
"GTM",320
"GUERNSEY",831
"GG",831
"GGY",831
"GUINEA",324
"GN",324
"GIN",324
"GUINEA-BISSAU",624
"GW",624
"GNB",624
"GUYANA",328
"GY",328
"GUY",328
"HAITI",332
"HT",332
"HTI",332
"HEARD ISLAND AND MCDONALD ISLANDS",334
"HM",334
"HMD",334
"HOLY SEE",336
"VA",336
"VAT",336
"HONDURAS",340
"HN",340
"HND",340
"HONG KONG",344
"HK",344
"HKG",344
"HUNGARY",348
"HU",348
"HUN",348
"ICELAND",352
"IS",352
"ISL",352
"INDIA",356
"IN",356
"IND",356
"INDONESIA",360
"ID",360
"IDN",360
"IRAN (ISLAMIC REPUBLIC OF)",364
"IRAN, ISLAMIC REPUBLIC OF",364
"IRAN",364
"ISLAMIC REPUBLIC OF IRAN",364
"IR",364
"IRN",364
"IRAQ",368
"IQ",368
"IRQ",368
"IRELAND",372
"IE",372
"IRL",372
"ISLE OF MAN",833
"IM",833
"IMN",833
"ISRAEL",376
"IL",376
"ISR",376
"ITALY",380
"IT",380
"ITA",380
"JAMAICA",388
"JM",388
"JAM",388
"JAPAN",392
"JP",392
"JPN",392
"JERSEY",832
"JE",832
"JEY",832
"JORDAN",400
"JO",400
"JOR",400
"KAZAKHSTAN",398
"KZ",398
"KAZ",398
"KENYA",404
"KE",404
"KEN",404
"KIRIBATI",296
"KI",296
"KIR",296
"KOREA (DEMOCRATIC PEOPLE'S REPUBLIC OF)",408
"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",408
"NORTH KOREA",408
"KOREA, NORTH",408
"DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA",408
"KP",408
"PRK",408
"KOREA (REPUBLIC OF)",410
"KOREA, REPUBLIC OF",410
"SOUTH KOREA",410
"KOREA, SOUTH",410
"REPUBLIC OF KOREA",410
"KR",410
"KOR",410
"KUWAIT",414
"KW",414
"KWT",414
"KYRGYZSTAN",417
"KG",417
"KGZ",417
"LAO PEOPLE'S DEMOCRATIC REPUBLIC",418
"LAOS",418
"LA",418
"LAO",418
"LATVIA",428
"LV",428
"LVA",428
"LEBANON",422
"LB",422
"LBN",422
"LESOTHO",426
"LS",426
"LSO",426
"LIBERIA",430
"LR",430
"LBR",430
"LIBYA",434
"LY",434
"LBY",434
"LIECHTENSTEIN",438
"LI",438
"LIE",438
"LITHUANIA",440
"LT",440
"LTU",440
"LUXEMBOURG",442
"LU",442
"LUX",442
"MACAO",446
"MO",446
"MAC",446
"MACEDONIA (THE FORMER YUGOSLAV REPUBLIC OF)",807
"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",807
"REPUBLIC OF MACEDONIA",807
"THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA",807
"MACEDONIA",807
"MK",807
"MKD",807
"MADAGASCAR",450
"MG",450
"MDG",450
"MALAWI",454
"MW",454
"MWI",454
"MALAYSIA",458
"MY",458
"MYS",458
"MALDIVES",462
"MV",462
"MDV",462
"MALI",466
"ML",466
"MLI",466
"MALTA",470
"MT",470
"MLT",470
"MARSHALL ISLANDS",584
"MH",584
"MHL",584
"MARTINIQUE",474
"MQ",474
"MTQ",474
"MAURITANIA",478
"MR",478
"MRT",478
"MAURITIUS",480
"MU",480
"MUS",480
"MAYOTTE",175
"YT",175
"MYT",175
"MEXICO",484
"MX",484
"MEX",484
"MICRONESIA (FEDERATED STATES OF)",583
"MICRONESIA, FEDERATED STATES OF",583
"MICRONESIA",583
"FEDERATED STATES OF MICRONESIA",583
"FM",583
"FSM",583
"MOLDOVA (REPUBLIC OF)",498
"MOLDOVA, REPUBLIC OF",498
"MOLDOVA",498
"REPUBLIC OF MOLDOVA",498
"MD",498
"MDA",498
"MONACO",492
"MC",492
"MCO",492
"MONGOLIA",496
"MN",496
"MNG",496
"MONTENEGRO",499
"ME",499
"MNE",499
"MONTSERRAT",500
"MS",500
"MSR",500
"MOROCCO",504
"MA",504
"MAR",504
"MOZAMBIQUE",508
"MZ",508
"MOZ",508
"MYANMAR",104
"BURMA",104
"MM",104
"MMR",104
"NAMIBIA",516
"NA",516
"NAM",516
"NAURU",520
"NR",520
"NRU",520
"NEPAL",524
"NP",524
"NPL",524
"NETHERLANDS",528
"NL",528
"NLD",528
"NEW CALEDONIA",540
"NC",540
"NCL",540
"NEW ZEALAND",554
"NZ",554
"NZL",554
"NICARAGUA",558
"NI",558
"NIC",558
"NIGER",562
"NE",562
"NER",562
"NIGERIA",566
"NG",566
"NGA",566
"NIUE",570
"NU",570
"NIU",570
"NORFOLK ISLAND",574
"NF",574
"NFK",574
"NORTHERN MARIANA ISLANDS",580
"MP",580
"MNP",580
"NORWAY",578
"NO",578
"NOR",578
"OMAN",512
"OM",512
"OMN",512
"PAKISTAN",586
"PK",586
"PAK",586
"PALAU",585
"PW",585
"PLW",585
"PALESTINE, STATE OF",275
"PALESTINE",275
"STATE OF PALESTINE",275
"PS",275
"PSE",275
"PANAMA",591
"PA",591
"PAN",591
"PAPUA NEW GUINEA",598
"PG",598
"PNG",598
"PARAGUAY",600
"PY",600
"PRY",600
"PERU",604
"PE",604
"PER",604
"PHILIPPINES",608
"PH",608
"PHL",608
"PITCAIRN",612
"PN",612
"PCN",612
"POLAND",616
"PL",616
"POL",616
"PORTUGAL",620
"PT",620
"PRT",620
"PUERTO RICO",630
"PR",630
"PRI",630
"QATAR",634
"QA",634
"QAT",634
"R_UNION",638
"RE",638
"REU",638
"ROMANIA",642
"RO",642
"ROU",642
"RUSSIAN FEDERATION",643
"RUSSIA",643
"RU",643
"RUS",643
"RWANDA",646
"RW",646
"RWA",646
"SAINT BARTH_LEMY",652
"BL",652
"BLM",652
"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",654
"SAINT HELENA",654
"ASCENSION AND TRISTAN DA CUNHA SAINT HELENA",654
"SH",654
"SHN",654
"SAINT KITTS AND NEVIS",659
"KN",659
"KNA",659
"SAINT LUCIA",662
"LC",662
"LCA",662
"SAINT MARTIN (FRENCH PART)",663
"SAINT MARTIN",663
"FRENCH PART SAINT MARTIN",663
"MF",663
"MAF",663
"SAINT PIERRE AND MIQUELON",666
"PM",666
"SPM",666
"SAINT VINCENT AND THE GRENADINES",670
"VC",670
"VCT",670
"SAMOA",882
"WS",882
"WSM",882
"SAN MARINO",674
"SM",674
"SMR",674
"SAO TOME AND PRINCIPE",678
"ST",678
"STP",678
"SAUDI ARABIA",682
"SA",682
"SAU",682
"SENEGAL",686
"SN",686
"SEN",686
"SERBIA",688
"RS",688
"SRB",688
"SEYCHELLES",690
"SC",690
"SYC",690
"SIERRA LEONE",694
"SL",694
"SLE",694
"SINGAPORE",702
"SG",702
"SGP",702
"SINT MAARTEN (DUTCH PART)",534
"SINT MAARTEN",534
"DUTCH PART SINT MAARTEN",534
"SX",534
"SXM",534
"SLOVAKIA",703
"SK",703
"SVK",703
"SLOVENIA",705
"SI",705
"SVN",705
"SOLOMON ISLANDS",90
"SB",90
"SLB",90
"SOMALIA",706
"SO",706
"SOM",706
"SOUTH AFRICA",710
"ZA",710
"ZAF",710
"SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS",239
"GS",239
"SGS",239
"SOUTH SUDAN",728
"SS",728
"SSD",728
"SDS",728
"SPAIN",724
"ES",724
"ESP",724
"SRI LANKA",144
"LK",144
"LKA",144
"SUDAN",729
"SD",729
"SDN",729
"SURINAME",740
"SR",740
"SUR",740
"SVALBARD AND JAN MAYEN",744
"SJ",744
"SJM",744
"SWAZILAND",748
"SZ",748
"SWZ",748
"SWEDEN",752
"SE",752
"SWE",752
"SWITZERLAND",756
"CH",756
"CHE",756
"SYRIAN ARAB REPUBLIC",760
"SYRIA",760
"SY",760
"SYR",760
"TAIWAN, PROVINCE OF CHINA",158
"TAIWAN",158
"PROVINCE OF CHINA TAIWAN",158
"TW",158
"TWN",158
"TAJIKISTAN",762
"TJ",762
"TJK",762
"TANZANIA, UNITED REPUBLIC OF",834
"TANZANIA",834
"UNITED REPUBLIC OF TANZANIA",834
"TZ",834
"TZA",834
"THAILAND",764
"TH",764
"THA",764
"TIMOR-LESTE",626
"TL",626
"TLS",626
"TOGO",768
"TG",768
"TGO",768
"TOKELAU",772
"TK",772
"TKL",772
"TONGA",776
"TO",776
"TON",776
"TRINIDAD AND TOBAGO",780
"TT",780
"TTO",780
"TUNISIA",788
"TN",788
"TUN",788
"TURKEY",792
"TR",792
"TUR",792
"TURKMENISTAN",795
"TM",795
"TKM",795
"TURKS AND CAICOS ISLANDS",796
"TC",796
"TCA",796
"TUVALU",798
"TV",798
"TUV",798
"UGANDA",800
"UG",800
"UGA",800
"UKRAINE",804
"UA",804
"UKR",804
"UNITED ARAB EMIRATES",784
"AE",784
"ARE",784
"UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND",826
"UNITED KINGDOM",826
"GREAT BRITAIN",826
"GB",826
"GBR",826
"UNITED STATES OF AMERICA",840
"US",840
"USA",840
"UNITED STATES",840
"UNITED STATES MINOR OUTLYING ISLANDS",581
"UM",581
"UMI",581
"URUGUAY",858
"UY",858
"URY",858
"UZBEKISTAN",860
"UZ",860
"UZB",860
"VANUATU",548
"VU",548
"VUT",548
"VENEZUELA (BOLIVARIAN REPUBLIC OF)",862
"VENEZUELA, BOLIVARIAN REPUBLIC OF",862
"VENEZUELA",862
"BOLIVARIAN REPUBLIC OF VENEZUELA",862
"VE",862
"VEN",862
"VIET NAM",704
"VIETNAM",704
"VN",704
"VNM",704
"VIRGIN ISLANDS (BRITISH)",92
"BRITISH VIRGIN ISLANDS",92
"VG",92
"VGB",92
"VIRGIN ISLANDS (U.S.)",850
"UNITED STATES VIRGIN ISLANDS",850
"AMERICAN VIRGIN ISLANDS",850
"VIRGIN ISLANDS OF THE UNITED STATES",850
"US VIRGIN ISLANDS",850
"U.S. VIRGIN ISLANDS",850
"VI",850
"VIR",850
"WALLIS AND FUTUNA",876
"WF",876
"WLF",876
"WESTERN SAHARA",732
"EH",732
"ESH",732
"YEMEN",887
"YE",887
"YEM",887
"ZAMBIA",894
"ZM",894
"ZMB",894
"ZIMBABWE",716
"ZW",716
"ZWE",716
"SOMALILAND",999
"SOL",999
"ABV",999
"NORTHERN CYPRUS, TURKISH REPUBLIC OF",997
"NORTHERN CYPRUS",997
"TURKISH REPUBLIC OF NORTHERN CYPRUS",997
"KOSOVO",998
"XK",998
"XKX",998
"RKS",998
"UNK",998
"OSA",998